,TX HASH,COINBASE,VERSION,VIN,VOUT,SHIELDEDSPEND,SHIELDEDOUT,NS
377418,0882875395,0,4,1,0,0.0,1.0,63680100
377543,dfab67bc80,0,4,0,0,1.0,1.0,78167100
379279,c00d40f39f,0,4,0,0,1.0,2.0,39461800
379283,bc5c575e99,0,4,0,0,1.0,2.0,48295000
379298,457cad75bd,0,4,0,0,2.0,2.0,69659300
379368,7499e5b98f,0,4,0,0,1.0,2.0,43516000
379393,490729f79a,0,4,0,0,1.0,2.0,33987200
383018,2d36d5d96f,0,4,0,0,1.0,2.0,74300000
383020,444e3c1dc4,0,4,0,0,2.0,2.0,96646500
440491,7191b46cae,0,4,0,0,1.0,2.0,45450400
440503,1ec4c0282d,0,4,0,0,1.0,2.0,88119300
440632,fc6d8074d9,0,4,0,0,1.0,2.0,58078000
441024,3d5897a193,0,4,1,0,0.0,1.0,46289100
441272,5cc794d5f7,0,4,0,1,1.0,1.0,42256300
441293,f2dd3021cf,0,4,1,0,0.0,1.0,11359300
441444,3b300bbc4f,0,4,1,0,0.0,1.0,11727800
441447,3c4f92225d,0,4,1,0,0.0,1.0,11758800
441454,44bc751082,0,4,1,0,0.0,1.0,53837000
441455,564c7907e6,0,4,1,0,0.0,1.0,25055300
441548,195c94a691,0,4,1,0,0.0,1.0,13980500
441566,56c4beede1,0,4,1,0,0.0,1.0,18074500
441567,24589fac18,0,4,1,0,0.0,1.0,29620000
441718,e91d2065b3,0,4,1,0,0.0,1.0,12417500
441722,c426de2c3c,0,4,0,1,1.0,1.0,26794700
442207,ef7e566027,0,4,0,1,1.0,1.0,40708400
442310,f193c0cbf8,0,4,1,0,0.0,1.0,12264900
442333,41f83cb827,0,4,1,0,0.0,1.0,37015300
442394,c8168b031a,0,4,0,1,1.0,1.0,51509700
442415,abbd823cbd,0,4,0,0,1.0,2.0,84508000
445627,6fe371e9f9,0,4,1,0,0.0,1.0,17214800
445654,ec44bd548b,0,4,1,0,0.0,1.0,26246300
445656,4fc0fd5aef,0,4,0,1,1.0,1.0,38781000
445722,fc495241db,0,4,0,1,1.0,1.0,31869400
446914,dda3941da3,0,4,1,0,0.0,1.0,30638700
447493,cf4cb56e49,0,4,1000,0,0.0,1.0,17367200
447507,bb52cd2fd2,0,4,1333,0,0.0,1.0,16983700
447520,e3e7d62c0f,0,4,1333,0,0.0,1.0,19690200
447528,294d28b017,0,4,1333,0,0.0,1.0,37395300
447792,11adb17680,0,4,5,0,0.0,1.0,15963200
447923,4afa43e532,0,4,0,0,1.0,2.0,46855600
449783,86d65b9582,0,4,0,0,1.0,2.0,122031900
452924,fd6a4a9120,0,4,0,0,1.0,2.0,48557900
453088,e65b468ab3,0,4,0,0,1.0,2.0,46340200
454038,d401afeb89,0,4,0,0,1.0,2.0,88560900
454083,4bb3b29f4f,0,4,0,0,1.0,2.0,60753000
454251,6d574681ee,0,4,0,0,1.0,2.0,52661200
454313,790fa256dd,0,4,0,0,1.0,2.0,48640500
454487,421555baac,0,4,0,0,2.0,2.0,79276700
454732,04d9ae83c2,0,4,50,0,0.0,1.0,16664800
454733,75d9fe8cf7,0,4,50,0,0.0,1.0,16286300
454734,65d95ae2f8,0,4,50,0,0.0,1.0,12605600
454735,7f1de38c4e,0,4,50,0,0.0,1.0,13411000
454736,89ace4df99,0,4,50,0,0.0,1.0,13746800
454737,c831171f2b,0,4,50,0,0.0,1.0,13252900
458351,8bb37457ef,0,4,1,0,0.0,1.0,33920100
458352,ad97a05dec,0,4,1,0,0.0,1.0,30801800
458353,6eb8d6ecce,0,4,0,0,1.0,2.0,54405600
458356,6586185125,0,4,0,0,1.0,2.0,55248000
458357,085aa15134,0,4,0,0,1.0,2.0,52110600
458358,a3e7527f66,0,4,0,0,1.0,2.0,39041400
458362,ca9caceb43,0,4,0,0,1.0,2.0,29841100
458453,11f948cade,0,4,1,0,0.0,1.0,19218800
458459,4882f92407,0,4,0,0,1.0,1.0,33046700
458466,b2efd48ea4,0,4,0,0,1.0,2.0,34658900
458467,dbdff0329d,0,4,0,0,1.0,2.0,29081100
458468,14bea9ea9d,0,4,0,0,1.0,2.0,38384500
458469,46c2c23fbb,0,4,0,0,1.0,2.0,31703100
458470,185760b9b4,0,4,0,0,1.0,2.0,38523300
458471,2de4812a6b,0,4,0,0,1.0,2.0,28787900
458472,67f0b96d21,0,4,0,0,2.0,2.0,46659800
458493,31f5f536ca,0,4,0,0,1.0,2.0,68638100
458494,559eff38ce,0,4,0,0,1.0,2.0,53091900
458495,e9d4d984bb,0,4,0,0,1.0,2.0,34353700
458496,f656646179,0,4,0,0,1.0,2.0,34742600
458497,37a5dcd49a,0,4,0,0,1.0,2.0,35045700
458502,77d880d0c4,0,4,0,0,2.0,2.0,121784100
458533,800f5016cc,0,4,0,0,1.0,2.0,45326200
458559,c48d68c23c,0,4,0,0,1.0,2.0,31685400
458560,3df849ac96,0,4,0,0,1.0,2.0,45078300
458564,2e57aa5816,0,4,0,0,1.0,2.0,78972300
458567,306d443f6e,0,4,0,0,1.0,2.0,62146100
458574,ffce461a26,0,4,0,0,1.0,2.0,50423200
458575,0cfbba72d7,0,4,0,0,1.0,2.0,40686100
458576,df73562e9d,0,4,0,0,1.0,2.0,37521600
458595,ad96d20de6,0,4,0,0,1.0,2.0,62069900
458596,acf8b4da9a,0,4,0,0,1.0,2.0,41059000
458598,821a812180,0,4,0,0,1.0,2.0,59818700
458602,3d4bc7441a,0,4,0,0,1.0,2.0,49625100
458605,92edf133d1,0,4,0,0,1.0,2.0,61171700
458606,dab7dfbd60,0,4,0,0,1.0,2.0,65342400
458615,df73e22fd5,0,4,0,0,1.0,2.0,82948900
458616,97c41bf193,0,4,0,0,1.0,2.0,41860500
458625,7ad41818a7,0,4,0,0,1.0,2.0,73668200
458632,2cafcd6d41,0,4,0,0,1.0,2.0,75462000
458633,5c17e825da,0,4,0,0,1.0,2.0,32792500
458637,808ee3b34f,0,4,0,0,1.0,2.0,55200600
458638,5cce311892,0,4,0,0,1.0,2.0,31543600
458666,716d28abf5,0,4,0,0,1.0,2.0,40485300
458707,500de9719e,0,4,0,0,1.0,2.0,59673300
458708,c4bb07cb57,0,4,0,0,1.0,2.0,53388400
458713,1410716dd4,0,4,0,0,1.0,2.0,90048300
458719,05f1f7ed92,0,4,0,0,1.0,2.0,52888700
458720,27bb1c8b68,0,4,0,0,1.0,2.0,42469600
458721,a6a6524d3c,0,4,0,0,1.0,2.0,54264500
458722,b2bb8be58e,0,4,0,0,1.0,2.0,30834700
458723,3f6dcf8666,0,4,0,0,1.0,2.0,37383700
458724,76bfcd2398,0,4,0,0,1.0,2.0,32333700
458734,43b05fc432,0,4,0,0,1.0,2.0,43551300
458735,5f9a2e897e,0,4,0,0,1.0,2.0,41964500
458741,230bed8ce6,0,4,0,0,1.0,2.0,70938700
